DATE,USSTHPI
1975-01-01,59.77
1975-04-01,61.13
1975-07-01,61.26
1975-10-01,62.31
1976-01-01,62.85
1976-04-01,65.47
1976-07-01,66.56
1976-10-01,67.25
1977-01-01,69.42
1977-04-01,72.69
1977-07-01,74.36
1977-10-01,77.22
1978-01-01,79.54
1978-04-01,82.74
1978-07-01,85.23
1978-10-01,87.45
1979-01-01,91.38
1979-04-01,94.36
1979-07-01,96.42
1979-10-01,98.25
1980-01-01,100.00
1980-04-01,101.57
1980-07-01,104.49
1980-10-01,104.77
1981-01-01,105.32
1981-04-01,107.43
1981-07-01,109.26
1981-10-01,109.16
1982-01-01,110.97
1982-04-01,111.89
1982-07-01,110.87
1982-10-01,112.25
1983-01-01,114.26
1983-04-01,115.46
1983-07-01,116.42
1983-10-01,117.06
1984-01-01,118.83
1984-04-01,120.40
1984-07-01,121.50
1984-10-01,122.50
1985-01-01,124.21
1985-04-01,126.11
1985-07-01,128.08
1985-10-01,129.49
1986-01-01,131.99
1986-04-01,134.74
1986-07-01,136.78
1986-10-01,138.89
1987-01-01,141.64
1987-04-01,143.83
1987-07-01,145.46
1987-10-01,146.39
1988-01-01,148.69
1988-04-01,151.64
1988-07-01,153.20
1988-10-01,154.63
1989-01-01,156.41
1989-04-01,158.58
1989-07-01,161.94
1989-10-01,163.28
1990-01-01,164.20
1990-04-01,164.87
1990-07-01,165.86
1990-10-01,165.22
1991-01-01,166.59
1991-04-01,167.72
1991-07-01,168.01
1991-10-01,170.37
1992-01-01,171.69
1992-04-01,171.66
1992-07-01,173.62
1992-10-01,174.49
1993-01-01,174.56
1993-04-01,176.22
1993-07-01,177.64
1993-10-01,179.11
1994-01-01,180.25
1994-04-01,181.35
1994-07-01,182.09
1994-10-01,181.93
1995-01-01,182.90
1995-04-01,185.89
1995-07-01,188.75
1995-10-01,190.22
1996-01-01,192.37
1996-04-01,192.70
1996-07-01,193.56
1996-10-01,195.08
1997-01-01,196.70
1997-04-01,198.35
1997-07-01,201.07
1997-10-01,203.68
1998-01-01,206.72
1998-04-01,208.59
1998-07-01,211.49
1998-10-01,213.99
1999-01-01,216.25
1999-04-01,219.15
1999-07-01,222.25
1999-10-01,224.55
2000-01-01,228.84
2000-04-01,232.56
2000-07-01,236.79
2000-10-01,240.45
2001-01-01,246.37
2001-04-01,250.50
2001-07-01,254.39
2001-10-01,257.54
2002-01-01,261.24
2002-04-01,265.68
2002-07-01,270.94
2002-10-01,274.79
2003-01-01,278.13
2003-04-01,281.52
2003-07-01,285.83
2003-10-01,293.92
2004-01-01,298.50
2004-04-01,305.73
2004-07-01,317.44
2004-10-01,324.20
2005-01-01,331.67
2005-04-01,342.26
2005-07-01,352.59
2005-10-01,360.59
2006-01-01,366.32
2006-04-01,370.05
2006-07-01,373.11
2006-10-01,376.92
2007-01-01,378.28
2007-04-01,378.03
2007-07-01,373.81
2007-10-01,372.65
2008-01-01,369.96
2008-04-01,360.66
2008-07-01,349.34
2008-10-01,346.15
2009-01-01,348.70
2009-04-01,339.48
2009-07-01,330.50
2009-10-01,328.05
2010-01-01,324.11
2010-04-01,321.22
2010-07-01,324.28
2010-10-01,321.91
2011-01-01,313.08
2011-04-01,307.64
2011-07-01,309.95
2011-10-01,311.31
2012-01-01,308.04
2012-04-01,306.79
2012-07-01,310.76
2012-10-01,313.26
2013-01-01,314.91
2013-04-01,319.86
2013-07-01,324.92
2013-10-01,327.71
2014-01-01,330.65
2014-04-01,336.97
2014-07-01,341.87
2014-10-01,344.75
2015-01-01,348.17
2015-04-01,354.40
2015-07-01,359.91
2015-10-01,363.24
2016-01-01,366.65
2016-04-01,373.98
2016-07-01,380.64
2016-10-01,384.21
2017-01-01,388.19
2017-04-01,398.52
2017-07-01,405.06
2017-10-01,408.93
2018-01-01,413.88
