,DATE,Year,Month,Day,CPI
0,1947-01-01,1947,1,1,21.48
1,1947-01-02,1947,1,2,21.48608695652174
2,1947-01-03,1947,1,3,21.49217391304348
3,1947-01-06,1947,1,6,21.498260869565218
4,1947-01-07,1947,1,7,21.504347826086956
5,1947-01-08,1947,1,8,21.510434782608698
6,1947-01-09,1947,1,9,21.516521739130436
7,1947-01-10,1947,1,10,21.522608695652174
8,1947-01-13,1947,1,13,21.528695652173912
9,1947-01-14,1947,1,14,21.534782608695654
10,1947-01-15,1947,1,15,21.540869565217392
11,1947-01-16,1947,1,16,21.54695652173913
12,1947-01-17,1947,1,17,21.55304347826087
13,1947-01-20,1947,1,20,21.55913043478261
14,1947-01-21,1947,1,21,21.565217391304348
15,1947-01-22,1947,1,22,21.57130434782609
16,1947-01-23,1947,1,23,21.577391304347827
17,1947-01-24,1947,1,24,21.583478260869565
18,1947-01-27,1947,1,27,21.589565217391304
19,1947-01-28,1947,1,28,21.595652173913045
20,1947-01-29,1947,1,29,21.601739130434783
21,1947-01-30,1947,1,30,21.60782608695652
22,1947-01-31,1947,1,31,21.613913043478263
23,1947-02-03,1947,2,3,21.62
24,1947-02-04,1947,2,4,21.639
25,1947-02-05,1947,2,5,21.658
26,1947-02-06,1947,2,6,21.677
27,1947-02-07,1947,2,7,21.696
28,1947-02-10,1947,2,10,21.715
29,1947-02-11,1947,2,11,21.734
30,1947-02-12,1947,2,12,21.753
31,1947-02-13,1947,2,13,21.772000000000002
32,1947-02-14,1947,2,14,21.791
33,1947-02-17,1947,2,17,21.810000000000002
34,1947-02-18,1947,2,18,21.829
35,1947-02-19,1947,2,19,21.848
36,1947-02-20,1947,2,20,21.867
37,1947-02-21,1947,2,21,21.886
38,1947-02-24,1947,2,24,21.905
39,1947-02-25,1947,2,25,21.924
40,1947-02-26,1947,2,26,21.943
41,1947-02-27,1947,2,27,21.962
42,1947-02-28,1947,2,28,21.981
43,1947-03-03,1947,3,3,22.0
44,1947-03-04,1947,3,4,22.0
45,1947-03-05,1947,3,5,22.0
46,1947-03-06,1947,3,6,22.0
47,1947-03-07,1947,3,7,22.0
48,1947-03-10,1947,3,10,22.0
49,1947-03-11,1947,3,11,22.0
50,1947-03-12,1947,3,12,22.0
51,1947-03-13,1947,3,13,22.0
52,1947-03-14,1947,3,14,22.0
53,1947-03-17,1947,3,17,22.0
54,1947-03-18,1947,3,18,22.0
55,1947-03-19,1947,3,19,22.0
56,1947-03-20,1947,3,20,22.0
57,1947-03-21,1947,3,21,22.0
58,1947-03-24,1947,3,24,22.0
59,1947-03-25,1947,3,25,22.0
60,1947-03-26,1947,3,26,22.0
61,1947-03-27,1947,3,27,22.0
62,1947-03-28,1947,3,28,22.0
63,1947-03-31,1947,3,31,22.0
64,1947-04-01,1947,4,1,22.0
65,1947-04-02,1947,4,2,21.99772727272727
66,1947-04-03,1947,4,3,21.995454545454546
67,1947-04-04,1947,4,4,21.993181818181817
68,1947-04-07,1947,4,7,21.990909090909092
69,1947-04-08,1947,4,8,21.988636363636363
70,1947-04-09,1947,4,9,21.986363636363635
71,1947-04-10,1947,4,10,21.98409090909091
72,1947-04-11,1947,4,11,21.98181818181818
73,1947-04-14,1947,4,14,21.979545454545455
74,1947-04-15,1947,4,15,21.977272727272727
75,1947-04-16,1947,4,16,21.975
76,1947-04-17,1947,4,17,21.972727272727273
77,1947-04-18,1947,4,18,21.970454545454544
78,1947-04-21,1947,4,21,21.96818181818182
79,1947-04-22,1947,4,22,21.96590909090909
80,1947-04-23,1947,4,23,21.963636363636365
81,1947-04-24,1947,4,24,21.961363636363636
82,1947-04-25,1947,4,25,21.959090909090907
83,1947-04-28,1947,4,28,21.956818181818182
84,1947-04-29,1947,4,29,21.954545454545453
85,1947-04-30,1947,4,30,21.952272727272728
86,1947-05-01,1947,5,1,21.95
87,1947-05-02,1947,5,2,21.95590909090909
88,1947-05-05,1947,5,5,21.96181818181818
89,1947-05-06,1947,5,6,21.967727272727274
90,1947-05-07,1947,5,7,21.973636363636363
91,1947-05-08,1947,5,8,21.979545454545452
92,1947-05-09,1947,5,9,21.985454545454544
93,1947-05-12,1947,5,12,21.991363636363637
94,1947-05-13,1947,5,13,21.997272727272726
95,1947-05-14,1947,5,14,22.003181818181815
96,1947-05-15,1947,5,15,22.009090909090908
97,1947-05-16,1947,5,16,22.015
98,1947-05-19,1947,5,19,22.02090909090909
99,1947-05-20,1947,5,20,22.02681818181818
100,1947-05-21,1947,5,21,22.03272727272727
101,1947-05-22,1947,5,22,22.038636363636364
102,1947-05-23,1947,5,23,22.044545454545453
103,1947-05-26,1947,5,26,22.050454545454542
104,1947-05-27,1947,5,27,22.056363636363635
105,1947-05-28,1947,5,28,22.062272727272727
106,1947-05-29,1947,5,29,22.068181818181817
107,1947-05-30,1947,5,30,22.074090909090906
108,1947-06-02,1947,6,2,22.08
109,1947-06-03,1947,6,3,22.087142857142855
110,1947-06-04,1947,6,4,22.094285714285714
111,1947-06-05,1947,6,5,22.10142857142857
112,1947-06-06,1947,6,6,22.108571428571427
113,1947-06-09,1947,6,9,22.115714285714283
114,1947-06-10,1947,6,10,22.122857142857143
115,1947-06-11,1947,6,11,22.13
116,1947-06-12,1947,6,12,22.137142857142855
117,1947-06-13,1947,6,13,22.144285714285715
118,1947-06-16,1947,6,16,22.15142857142857
