,DATE,Year,Month,Day,Employment
0,1939-01-02,1939,1,2,29296.0
1,1939-01-03,1939,1,3,29300.454545454544
2,1939-01-04,1939,1,4,29304.909090909092
3,1939-01-05,1939,1,5,29309.363636363636
4,1939-01-06,1939,1,6,29313.81818181818
5,1939-01-09,1939,1,9,29318.272727272728
6,1939-01-10,1939,1,10,29322.727272727272
7,1939-01-11,1939,1,11,29327.18181818182
8,1939-01-12,1939,1,12,29331.636363636364
9,1939-01-13,1939,1,13,29336.090909090908
10,1939-01-16,1939,1,16,29340.545454545456
11,1939-01-17,1939,1,17,29345.0
12,1939-01-18,1939,1,18,29349.454545454544
13,1939-01-19,1939,1,19,29353.909090909092
14,1939-01-20,1939,1,20,29358.363636363636
15,1939-01-23,1939,1,23,29362.81818181818
16,1939-01-24,1939,1,24,29367.272727272728
17,1939-01-25,1939,1,25,29371.727272727272
18,1939-01-26,1939,1,26,29376.18181818182
19,1939-01-27,1939,1,27,29380.636363636364
20,1939-01-30,1939,1,30,29385.090909090908
21,1939-01-31,1939,1,31,29389.545454545456
22,1939-02-01,1939,2,1,29394.0
23,1939-02-02,1939,2,2,29414.5
24,1939-02-03,1939,2,3,29435.0
25,1939-02-06,1939,2,6,29455.5
26,1939-02-07,1939,2,7,29476.0
27,1939-02-08,1939,2,8,29496.5
28,1939-02-09,1939,2,9,29517.0
29,1939-02-10,1939,2,10,29537.5
30,1939-02-13,1939,2,13,29558.0
31,1939-02-14,1939,2,14,29578.5
32,1939-02-15,1939,2,15,29599.0
33,1939-02-16,1939,2,16,29619.5
34,1939-02-17,1939,2,17,29640.0
35,1939-02-20,1939,2,20,29660.5
36,1939-02-21,1939,2,21,29681.0
37,1939-02-22,1939,2,22,29701.5
38,1939-02-23,1939,2,23,29722.0
39,1939-02-24,1939,2,24,29742.5
40,1939-02-27,1939,2,27,29763.0
41,1939-02-28,1939,2,28,29783.5
42,1939-03-01,1939,3,1,29804.0
43,1939-03-02,1939,3,2,29803.217391304348
44,1939-03-03,1939,3,3,29802.434782608696
45,1939-03-06,1939,3,6,29801.652173913044
46,1939-03-07,1939,3,7,29800.869565217392
47,1939-03-08,1939,3,8,29800.08695652174
48,1939-03-09,1939,3,9,29799.304347826088
49,1939-03-10,1939,3,10,29798.521739130436
50,1939-03-13,1939,3,13,29797.739130434784
51,1939-03-14,1939,3,14,29796.956521739132
52,1939-03-15,1939,3,15,29796.17391304348
53,1939-03-16,1939,3,16,29795.391304347828
54,1939-03-17,1939,3,17,29794.608695652172
55,1939-03-20,1939,3,20,29793.82608695652
56,1939-03-21,1939,3,21,29793.043478260868
