,DATE,Year,Month,Day,GDP
0,1947-01-01,1947,1,1,243.08
1,1947-01-02,1947,1,2,243.129796875
2,1947-01-03,1947,1,3,243.17959375
3,1947-01-06,1947,1,6,243.229390625
4,1947-01-07,1947,1,7,243.2791875
5,1947-01-08,1947,1,8,243.328984375
6,1947-01-09,1947,1,9,243.37878125
7,1947-01-10,1947,1,10,243.428578125
8,1947-01-13,1947,1,13,243.478375
9,1947-01-14,1947,1,14,243.528171875
10,1947-01-15,1947,1,15,243.57796875
11,1947-01-16,1947,1,16,243.62776562500002
12,1947-01-17,1947,1,17,243.67756250000002
13,1947-01-20,1947,1,20,243.72735937500002
14,1947-01-21,1947,1,21,243.77715625000002
15,1947-01-22,1947,1,22,243.82695312500002
16,1947-01-23,1947,1,23,243.87675000000002
17,1947-01-24,1947,1,24,243.926546875
18,1947-01-27,1947,1,27,243.97634375
19,1947-01-28,1947,1,28,244.026140625
20,1947-01-29,1947,1,29,244.0759375
21,1947-01-30,1947,1,30,244.125734375
22,1947-01-31,1947,1,31,244.17553125
23,1947-02-03,1947,2,3,244.225328125
24,1947-02-04,1947,2,4,244.275125
25,1947-02-05,1947,2,5,244.324921875
26,1947-02-06,1947,2,6,244.37471875
27,1947-02-07,1947,2,7,244.424515625
28,1947-02-10,1947,2,10,244.4743125
29,1947-02-11,1947,2,11,244.524109375
30,1947-02-12,1947,2,12,244.57390625
31,1947-02-13,1947,2,13,244.623703125
32,1947-02-14,1947,2,14,244.6735
33,1947-02-17,1947,2,17,244.72329687500002
34,1947-02-18,1947,2,18,244.77309375000002
35,1947-02-19,1947,2,19,244.822890625
36,1947-02-20,1947,2,20,244.8726875
37,1947-02-21,1947,2,21,244.922484375
38,1947-02-24,1947,2,24,244.97228125
39,1947-02-25,1947,2,25,245.022078125
40,1947-02-26,1947,2,26,245.071875
41,1947-02-27,1947,2,27,245.121671875
42,1947-02-28,1947,2,28,245.17146875
43,1947-03-03,1947,3,3,245.221265625
44,1947-03-04,1947,3,4,245.2710625
45,1947-03-05,1947,3,5,245.320859375
46,1947-03-06,1947,3,6,245.37065625
47,1947-03-07,1947,3,7,245.420453125
48,1947-03-10,1947,3,10,245.47025
49,1947-03-11,1947,3,11,245.520046875
50,1947-03-12,1947,3,12,245.56984375
51,1947-03-13,1947,3,13,245.619640625
52,1947-03-14,1947,3,14,245.6694375
53,1947-03-17,1947,3,17,245.71923437499998
54,1947-03-18,1947,3,18,245.76903125
55,1947-03-19,1947,3,19,245.818828125
56,1947-03-20,1947,3,20,245.868625
57,1947-03-21,1947,3,21,245.918421875
58,1947-03-24,1947,3,24,245.96821875
59,1947-03-25,1947,3,25,246.018015625
60,1947-03-26,1947,3,26,246.0678125
61,1947-03-27,1947,3,27,246.117609375
62,1947-03-28,1947,3,28,246.16740625
63,1947-03-31,1947,3,31,246.217203125
64,1947-04-01,1947,4,1,246.267
65,1947-04-02,1947,4,2,246.3262
66,1947-04-03,1947,4,3,246.3854
67,1947-04-04,1947,4,4,246.4446
68,1947-04-07,1947,4,7,246.50379999999998
69,1947-04-08,1947,4,8,246.563
70,1947-04-09,1947,4,9,246.6222
71,1947-04-10,1947,4,10,246.6814
72,1947-04-11,1947,4,11,246.7406
73,1947-04-14,1947,4,14,246.7998
74,1947-04-15,1947,4,15,246.859
75,1947-04-16,1947,4,16,246.91819999999998
76,1947-04-17,1947,4,17,246.9774
77,1947-04-18,1947,4,18,247.0366
78,1947-04-21,1947,4,21,247.0958
79,1947-04-22,1947,4,22,247.155
80,1947-04-23,1947,4,23,247.2142
81,1947-04-24,1947,4,24,247.2734
82,1947-04-25,1947,4,25,247.3326
83,1947-04-28,1947,4,28,247.3918
84,1947-04-29,1947,4,29,247.451
85,1947-04-30,1947,4,30,247.5102
86,1947-05-01,1947,5,1,247.5694
87,1947-05-02,1947,5,2,247.6286
88,1947-05-05,1947,5,5,247.6878
89,1947-05-06,1947,5,6,247.747
90,1947-05-07,1947,5,7,247.8062
91,1947-05-08,1947,5,8,247.8654
92,1947-05-09,1947,5,9,247.9246
93,1947-05-12,1947,5,12,247.9838
94,1947-05-13,1947,5,13,248.043
95,1947-05-14,1947,5,14,248.1022
96,1947-05-15,1947,5,15,248.16140000000001
97,1947-05-16,1947,5,16,248.2206
98,1947-05-19,1947,5,19,248.2798
99,1947-05-20,1947,5,20,248.339
100,1947-05-21,1947,5,21,248.3982
101,1947-05-22,1947,5,22,248.4574
102,1947-05-23,1947,5,23,248.5166
103,1947-05-26,1947,5,26,248.57580000000002
104,1947-05-27,1947,5,27,248.635
105,1947-05-28,1947,5,28,248.6942
106,1947-05-29,1947,5,29,248.7534
107,1947-05-30,1947,5,30,248.8126
108,1947-06-02,1947,6,2,248.8718
109,1947-06-03,1947,6,3,248.931
110,1947-06-04,1947,6,4,248.99020000000002
111,1947-06-05,1947,6,5,249.0494
112,1947-06-06,1947,6,6,249.1086
113,1947-06-09,1947,6,9,249.1678
114,1947-06-10,1947,6,10,249.227
115,1947-06-11,1947,6,11,249.2862
116,1947-06-12,1947,6,12,249.3454
117,1947-06-13,1947,6,13,249.40460000000002
118,1947-06-16,1947,6,16,249.46380000000002
119,1947-06-17,1947,6,17,249.523
120,1947-06-18,1947,6,18,249.5822
121,1947-06-19,1947,6,19,249.6414
122,1947-06-20,1947,6,20,249.7006
123,1947-06-23,1947,6,23,249.7598
124,1947-06-24,1947,6,24,249.81900000000002
125,1947-06-25,1947,6,25,249.87820000000002
126,1947-06-26,1947,6,26,249.9374
127,1947-06-27,1947,6,27,249.9966
128,1947-06-30,1947,6,30,250.0558
129,1947-07-01,1947,7,1,250.115
130,1947-07-02,1947,7,2,250.26945454545455
131,1947-07-03,1947,7,3,250.4239090909091
132,1947-07-04,1947,7,4,250.57836363636363
133,1947-07-07,1947,7,7,250.7328181818182
134,1947-07-08,1947,7,8,250.88727272727274
135,1947-07-09,1947,7,9,251.0417272727273
136,1947-07-10,1947,7,10,251.19618181818183
137,1947-07-11,1947,7,11,251.35063636363637
138,1947-07-14,1947,7,14,251.5050909090909
139,1947-07-15,1947,7,15,251.65954545454548
140,1947-07-16,1947,7,16,251.81400000000002
141,1947-07-17,1947,7,17,251.96845454545456
142,1947-07-18,1947,7,18,252.1229090909091
143,1947-07-21,1947,7,21,252.27736363636365
144,1947-07-22,1947,7,22,252.4318181818182
145,1947-07-23,1947,7,23,252.58627272727273
146,1947-07-24,1947,7,24,252.7407272727273
147,1947-07-25,1947,7,25,252.89518181818184
148,1947-07-28,1947,7,28,253.04963636363638
149,1947-07-29,1947,7,29,253.20409090909092
150,1947-07-30,1947,7,30,253.35854545454546
151,1947-07-31,1947,7,31,253.513
152,1947-08-01,1947,8,1,253.66745454545455
153,1947-08-04,1947,8,4,253.82190909090912
154,1947-08-05,1947,8,5,253.97636363636366
155,1947-08-06,1947,8,6,254.1308181818182
156,1947-08-07,1947,8,7,254.28527272727274
157,1947-08-08,1947,8,8,254.43972727272728
158,1947-08-11,1947,8,11,254.59418181818182
