,DATE,Year,Month,Day,Income
0,1959-01-01,1959,1,1,392.1
1,1959-01-02,1959,1,2,392.1909090909091
2,1959-01-05,1959,1,5,392.2818181818182
3,1959-01-06,1959,1,6,392.3727272727273
4,1959-01-07,1959,1,7,392.4636363636364
5,1959-01-08,1959,1,8,392.55454545454546
6,1959-01-09,1959,1,9,392.6454545454546
7,1959-01-12,1959,1,12,392.73636363636365
8,1959-01-13,1959,1,13,392.82727272727277
9,1959-01-14,1959,1,14,392.91818181818184
10,1959-01-15,1959,1,15,393.00909090909096
11,1959-01-16,1959,1,16,393.1
12,1959-01-19,1959,1,19,393.1909090909091
13,1959-01-20,1959,1,20,393.2818181818182
14,1959-01-21,1959,1,21,393.3727272727273
15,1959-01-22,1959,1,22,393.4636363636364
16,1959-01-23,1959,1,23,393.55454545454546
17,1959-01-26,1959,1,26,393.6454545454546
18,1959-01-27,1959,1,27,393.73636363636365
19,1959-01-28,1959,1,28,393.82727272727277
20,1959-01-29,1959,1,29,393.91818181818184
21,1959-01-30,1959,1,30,394.00909090909096
22,1959-02-02,1959,2,2,394.1
23,1959-02-03,1959,2,3,394.24
24,1959-02-04,1959,2,4,394.38
25,1959-02-05,1959,2,5,394.52000000000004
26,1959-02-06,1959,2,6,394.66
27,1959-02-09,1959,2,9,394.8
28,1959-02-10,1959,2,10,394.94
29,1959-02-11,1959,2,11,395.08
30,1959-02-12,1959,2,12,395.22
31,1959-02-13,1959,2,13,395.36
32,1959-02-16,1959,2,16,395.5
33,1959-02-17,1959,2,17,395.64
34,1959-02-18,1959,2,18,395.78
35,1959-02-19,1959,2,19,395.92
36,1959-02-20,1959,2,20,396.06
37,1959-02-23,1959,2,23,396.2
38,1959-02-24,1959,2,24,396.34
39,1959-02-25,1959,2,25,396.47999999999996
40,1959-02-26,1959,2,26,396.62
41,1959-02-27,1959,2,27,396.76
42,1959-03-02,1959,3,2,396.9
43,1959-03-03,1959,3,3,397.0454545454545
44,1959-03-04,1959,3,4,397.1909090909091
45,1959-03-05,1959,3,5,397.3363636363636
46,1959-03-06,1959,3,6,397.48181818181814
47,1959-03-09,1959,3,9,397.6272727272727
48,1959-03-10,1959,3,10,397.77272727272725
49,1959-03-11,1959,3,11,397.91818181818184
50,1959-03-12,1959,3,12,398.06363636363636
51,1959-03-13,1959,3,13,398.2090909090909
52,1959-03-16,1959,3,16,398.3545454545455
53,1959-03-17,1959,3,17,398.5
54,1959-03-18,1959,3,18,398.6454545454545
55,1959-03-19,1959,3,19,398.7909090909091
56,1959-03-20,1959,3,20,398.93636363636364
57,1959-03-23,1959,3,23,399.08181818181816
58,1959-03-24,1959,3,24,399.22727272727275
59,1959-03-25,1959,3,25,399.3727272727273
60,1959-03-26,1959,3,26,399.51818181818186
61,1959-03-27,1959,3,27,399.6636363636364
62,1959-03-30,1959,3,30,399.8090909090909
63,1959-03-31,1959,3,31,399.9545454545455
64,1959-04-01,1959,4,1,400.1
65,1959-04-02,1959,4,2,400.21818181818185
66,1959-04-03,1959,4,3,400.33636363636367
67,1959-04-06,1959,4,6,400.4545454545455
68,1959-04-07,1959,4,7,400.57272727272726
69,1959-04-08,1959,4,8,400.6909090909091
70,1959-04-09,1959,4,9,400.8090909090909
71,1959-04-10,1959,4,10,400.92727272727274
72,1959-04-13,1959,4,13,401.04545454545456
73,1959-04-14,1959,4,14,401.1636363636364
74,1959-04-15,1959,4,15,401.2818181818182
75,1959-04-16,1959,4,16,401.4
76,1959-04-17,1959,4,17,401.5181818181818
77,1959-04-20,1959,4,20,401.6363636363636
78,1959-04-21,1959,4,21,401.75454545454545
79,1959-04-22,1959,4,22,401.8727272727273
80,1959-04-23,1959,4,23,401.9909090909091
81,1959-04-24,1959,4,24,402.1090909090909
82,1959-04-27,1959,4,27,402.22727272727275
83,1959-04-28,1959,4,28,402.3454545454545
84,1959-04-29,1959,4,29,402.46363636363634
85,1959-04-30,1959,4,30,402.58181818181816
86,1959-05-01,1959,5,1,402.7
87,1959-05-04,1959,5,4,402.8190476190476
88,1959-05-05,1959,5,5,402.93809523809523
89,1959-05-06,1959,5,6,403.0571428571428
90,1959-05-07,1959,5,7,403.17619047619047
91,1959-05-08,1959,5,8,403.29523809523806
92,1959-05-11,1959,5,11,403.4142857142857
93,1959-05-12,1959,5,12,403.5333333333333
94,1959-05-13,1959,5,13,403.65238095238095
95,1959-05-14,1959,5,14,403.77142857142854
96,1959-05-15,1959,5,15,403.8904761904762
97,1959-05-18,1959,5,18,404.0095238095238
98,1959-05-19,1959,5,19,404.12857142857143
99,1959-05-20,1959,5,20,404.247619047619
100,1959-05-21,1959,5,21,404.3666666666667
101,1959-05-22,1959,5,22,404.48571428571427
102,1959-05-25,1959,5,25,404.6047619047619
103,1959-05-26,1959,5,26,404.7238095238095
104,1959-05-27,1959,5,27,404.84285714285716
105,1959-05-28,1959,5,28,404.96190476190475
106,1959-05-29,1959,5,29,405.0809523809524
107,1959-06-01,1959,6,1,405.2
108,1959-06-02,1959,6,2,405.22272727272724
109,1959-06-03,1959,6,3,405.24545454545455
110,1959-06-04,1959,6,4,405.2681818181818
111,1959-06-05,1959,6,5,405.29090909090905
112,1959-06-08,1959,6,8,405.31363636363636
113,1959-06-09,1959,6,9,405.3363636363636
114,1959-06-10,1959,6,10,405.3590909090909
115,1959-06-11,1959,6,11,405.3818181818182
116,1959-06-12,1959,6,12,405.4045454545454
117,1959-06-15,1959,6,15,405.42727272727274
118,1959-06-16,1959,6,16,405.45
119,1959-06-17,1959,6,17,405.47272727272724
120,1959-06-18,1959,6,18,405.49545454545455
121,1959-06-19,1959,6,19,405.5181818181818
122,1959-06-22,1959,6,22,405.54090909090905
123,1959-06-23,1959,6,23,405.56363636363636
124,1959-06-24,1959,6,24,405.5863636363636
125,1959-06-25,1959,6,25,405.6090909090909
126,1959-06-26,1959,6,26,405.6318181818182
127,1959-06-29,1959,6,29,405.6545454545454
128,1959-06-30,1959,6,30,405.67727272727274
129,1959-07-01,1959,7,1,405.7
130,1959-07-02,1959,7,2,405.6304347826087
131,1959-07-03,1959,7,3,405.5608695652174
132,1959-07-06,1959,7,6,405.4913043478261
133,1959-07-07,1959,7,7,405.4217391304348
134,1959-07-08,1959,7,8,405.3521739130435
135,1959-07-09,1959,7,9,405.2826086956522
136,1959-07-10,1959,7,10,405.2130434782609
137,1959-07-13,1959,7,13,405.1434782608696
138,1959-07-14,1959,7,14,405.0739130434783
139,1959-07-15,1959,7,15,405.004347826087
140,1959-07-16,1959,7,16,404.9347826086957
141,1959-07-17,1959,7,17,404.8652173913043
142,1959-07-20,1959,7,20,404.795652173913
143,1959-07-21,1959,7,21,404.7260869565217
144,1959-07-22,1959,7,22,404.6565217391304
145,1959-07-23,1959,7,23,404.5869565217391
146,1959-07-24,1959,7,24,404.5173913043478
147,1959-07-27,1959,7,27,404.4478260869565
148,1959-07-28,1959,7,28,404.3782608695652
149,1959-07-29,1959,7,29,404.3086956521739
150,1959-07-30,1959,7,30,404.2391304347826
151,1959-07-31,1959,7,31,404.1695652173913
152,1959-08-03,1959,8,3,404.1
153,1959-08-04,1959,8,4,404.1571428571429
154,1959-08-05,1959,8,5,404.2142857142857
155,1959-08-06,1959,8,6,404.2714285714286
156,1959-08-07,1959,8,7,404.3285714285714
157,1959-08-10,1959,8,10,404.3857142857143
158,1959-08-11,1959,8,11,404.4428571428572
159,1959-08-12,1959,8,12,404.5
160,1959-08-13,1959,8,13,404.5571428571429
161,1959-08-14,1959,8,14,404.61428571428576
162,1959-08-17,1959,8,17,404.6714285714286
163,1959-08-18,1959,8,18,404.72857142857146
164,1959-08-19,1959,8,19,404.7857142857143
165,1959-08-20,1959,8,20,404.84285714285716
166,1959-08-21,1959,8,21,404.90000000000003
167,1959-08-24,1959,8,24,404.95714285714286
168,1959-08-25,1959,8,25,405.01428571428573
169,1959-08-26,1959,8,26,405.0714285714286
170,1959-08-27,1959,8,27,405.12857142857143
171,1959-08-28,1959,8,28,405.1857142857143
172,1959-08-31,1959,8,31,405.24285714285713
173,1959-09-01,1959,9,1,405.3
174,1959-09-02,1959,9,2,405.3772727272727
