,DATE,Year,Month,Day,Loans
0,1985-01-02,1985,1,2,376656.0
1,1985-01-03,1985,1,3,376526.22580645164
2,1985-01-04,1985,1,4,376396.4516129032
3,1985-01-07,1985,1,7,376266.67741935485
4,1985-01-08,1985,1,8,376136.9032258064
5,1985-01-09,1985,1,9,376007.12903225806
6,1985-01-10,1985,1,10,375877.3548387097
7,1985-01-11,1985,1,11,375747.5806451613
8,1985-01-14,1985,1,14,375617.8064516129
9,1985-01-15,1985,1,15,375488.03225806454
10,1985-01-16,1985,1,16,375358.2580645161
11,1985-01-17,1985,1,17,375228.48387096776
12,1985-01-18,1985,1,18,375098.70967741933
13,1985-01-21,1985,1,21,374968.93548387097
14,1985-01-22,1985,1,22,374839.1612903226
15,1985-01-23,1985,1,23,374709.3870967742
16,1985-01-24,1985,1,24,374579.6129032258
17,1985-01-25,1985,1,25,374449.8387096774
18,1985-01-28,1985,1,28,374320.06451612903
19,1985-01-29,1985,1,29,374190.29032258067
20,1985-01-30,1985,1,30,374060.51612903224
21,1985-01-31,1985,1,31,373930.7419354839
22,1985-02-01,1985,2,1,373800.96774193546
23,1985-02-04,1985,2,4,373671.1935483871
24,1985-02-05,1985,2,5,373541.4193548387
25,1985-02-06,1985,2,6,373411.6451612903
26,1985-02-07,1985,2,7,373281.87096774194
27,1985-02-08,1985,2,8,373152.0967741936
28,1985-02-11,1985,2,11,373022.32258064515
29,1985-02-12,1985,2,12,372892.5483870968
30,1985-02-13,1985,2,13,372762.77419354836
31,1985-02-14,1985,2,14,372633.0
32,1985-02-15,1985,2,15,372503.22580645164
33,1985-02-19,1985,2,19,372373.4516129032
34,1985-02-20,1985,2,20,372243.67741935485
35,1985-02-21,1985,2,21,372113.9032258064
36,1985-02-22,1985,2,22,371984.12903225806
37,1985-02-25,1985,2,25,371854.3548387097
38,1985-02-26,1985,2,26,371724.5806451613
39,1985-02-27,1985,2,27,371594.8064516129
40,1985-02-28,1985,2,28,371465.03225806454
41,1985-03-01,1985,3,1,371335.2580645161
42,1985-03-04,1985,3,4,371205.48387096776
43,1985-03-05,1985,3,5,371075.70967741933
44,1985-03-06,1985,3,6,370945.93548387097
45,1985-03-07,1985,3,7,370816.1612903226
46,1985-03-08,1985,3,8,370686.3870967742
47,1985-03-11,1985,3,11,370556.6129032258
48,1985-03-12,1985,3,12,370426.8387096774
49,1985-03-13,1985,3,13,370297.06451612903
50,1985-03-14,1985,3,14,370167.29032258067
51,1985-03-15,1985,3,15,370037.51612903224
52,1985-03-18,1985,3,18,369907.7419354839
53,1985-03-19,1985,3,19,369777.96774193546
54,1985-03-20,1985,3,20,369648.1935483871
55,1985-03-21,1985,3,21,369518.4193548387
56,1985-03-22,1985,3,22,369388.6451612903
57,1985-03-25,1985,3,25,369258.87096774194
58,1985-03-26,1985,3,26,369129.0967741936
59,1985-03-27,1985,3,27,368999.32258064515
60,1985-03-28,1985,3,28,368869.5483870968
61,1985-03-29,1985,3,29,368739.77419354836
62,1985-04-01,1985,4,1,368610.0
63,1985-04-02,1985,4,2,368594.859375
64,1985-04-03,1985,4,3,368579.71875
65,1985-04-04,1985,4,4,368564.578125
66,1985-04-05,1985,4,5,368549.4375
67,1985-04-08,1985,4,8,368534.296875
68,1985-04-09,1985,4,9,368519.15625
69,1985-04-10,1985,4,10,368504.015625
70,1985-04-11,1985,4,11,368488.875
71,1985-04-12,1985,4,12,368473.734375
72,1985-04-15,1985,4,15,368458.59375
73,1985-04-16,1985,4,16,368443.453125
74,1985-04-17,1985,4,17,368428.3125
75,1985-04-18,1985,4,18,368413.171875
76,1985-04-19,1985,4,19,368398.03125
77,1985-04-22,1985,4,22,368382.890625
78,1985-04-23,1985,4,23,368367.75
79,1985-04-24,1985,4,24,368352.609375
80,1985-04-25,1985,4,25,368337.46875
81,1985-04-26,1985,4,26,368322.328125
82,1985-04-29,1985,4,29,368307.1875
83,1985-04-30,1985,4,30,368292.046875
84,1985-05-01,1985,5,1,368276.90625
85,1985-05-02,1985,5,2,368261.765625
86,1985-05-03,1985,5,3,368246.625
87,1985-05-06,1985,5,6,368231.484375
88,1985-05-07,1985,5,7,368216.34375
89,1985-05-08,1985,5,8,368201.203125
90,1985-05-09,1985,5,9,368186.0625
91,1985-05-10,1985,5,10,368170.921875
92,1985-05-13,1985,5,13,368155.78125
93,1985-05-14,1985,5,14,368140.640625
94,1985-05-15,1985,5,15,368125.5
95,1985-05-16,1985,5,16,368110.359375
96,1985-05-17,1985,5,17,368095.21875
97,1985-05-20,1985,5,20,368080.078125
98,1985-05-21,1985,5,21,368064.9375
99,1985-05-22,1985,5,22,368049.796875
100,1985-05-23,1985,5,23,368034.65625
101,1985-05-24,1985,5,24,368019.515625
102,1985-05-28,1985,5,28,368004.375
103,1985-05-29,1985,5,29,367989.234375
104,1985-05-30,1985,5,30,367974.09375
105,1985-05-31,1985,5,31,367958.953125
106,1985-06-03,1985,6,3,367943.8125
107,1985-06-04,1985,6,4,367928.671875
108,1985-06-05,1985,6,5,367913.53125
109,1985-06-06,1985,6,6,367898.390625
110,1985-06-07,1985,6,7,367883.25
111,1985-06-10,1985,6,10,367868.109375
112,1985-06-11,1985,6,11,367852.96875
113,1985-06-12,1985,6,12,367837.828125
114,1985-06-13,1985,6,13,367822.6875
115,1985-06-14,1985,6,14,367807.546875
116,1985-06-17,1985,6,17,367792.40625
117,1985-06-18,1985,6,18,367777.265625
118,1985-06-19,1985,6,19,367762.125
119,1985-06-20,1985,6,20,367746.984375
120,1985-06-21,1985,6,21,367731.84375
121,1985-06-24,1985,6,24,367716.703125
122,1985-06-25,1985,6,25,367701.5625
123,1985-06-26,1985,6,26,367686.421875
124,1985-06-27,1985,6,27,367671.28125
125,1985-06-28,1985,6,28,367656.140625
126,1985-07-01,1985,7,1,367641.0
127,1985-07-02,1985,7,2,367624.5625
128,1985-07-03,1985,7,3,367608.125
129,1985-07-05,1985,7,5,367591.6875
130,1985-07-08,1985,7,8,367575.25
131,1985-07-09,1985,7,9,367558.8125
132,1985-07-10,1985,7,10,367542.375
133,1985-07-11,1985,7,11,367525.9375
134,1985-07-12,1985,7,12,367509.5
135,1985-07-15,1985,7,15,367493.0625
136,1985-07-16,1985,7,16,367476.625
137,1985-07-17,1985,7,17,367460.1875
138,1985-07-18,1985,7,18,367443.75
139,1985-07-19,1985,7,19,367427.3125
140,1985-07-22,1985,7,22,367410.875
141,1985-07-23,1985,7,23,367394.4375
142,1985-07-24,1985,7,24,367378.0
143,1985-07-25,1985,7,25,367361.5625
144,1985-07-26,1985,7,26,367345.125
145,1985-07-29,1985,7,29,367328.6875
146,1985-07-30,1985,7,30,367312.25
147,1985-07-31,1985,7,31,367295.8125
148,1985-08-01,1985,8,1,367279.375
149,1985-08-02,1985,8,2,367262.9375
150,1985-08-05,1985,8,5,367246.5
151,1985-08-06,1985,8,6,367230.0625
152,1985-08-07,1985,8,7,367213.625
153,1985-08-08,1985,8,8,367197.1875
154,1985-08-09,1985,8,9,367180.75
155,1985-08-12,1985,8,12,367164.3125
156,1985-08-13,1985,8,13,367147.875
157,1985-08-14,1985,8,14,367131.4375
158,1985-08-15,1985,8,15,367115.0
159,1985-08-16,1985,8,16,367098.5625
160,1985-08-19,1985,8,19,367082.125
161,1985-08-20,1985,8,20,367065.6875
162,1985-08-21,1985,8,21,367049.25
163,1985-08-22,1985,8,22,367032.8125
164,1985-08-23,1985,8,23,367016.375
165,1985-08-26,1985,8,26,366999.9375
166,1985-08-27,1985,8,27,366983.5
167,1985-08-28,1985,8,28,366967.0625
