,DATE,Year,Month,Day,MonetaryBase
0,1959-01-01,1959,1,1,50463.0
1,1959-01-02,1959,1,2,50433.09090909091
2,1959-01-05,1959,1,5,50403.181818181816
3,1959-01-06,1959,1,6,50373.27272727273
4,1959-01-07,1959,1,7,50343.36363636364
5,1959-01-08,1959,1,8,50313.454545454544
6,1959-01-09,1959,1,9,50283.545454545456
7,1959-01-12,1959,1,12,50253.63636363636
8,1959-01-13,1959,1,13,50223.72727272727
9,1959-01-14,1959,1,14,50193.818181818184
10,1959-01-15,1959,1,15,50163.90909090909
11,1959-01-16,1959,1,16,50134.0
12,1959-01-19,1959,1,19,50104.09090909091
13,1959-01-20,1959,1,20,50074.181818181816
14,1959-01-21,1959,1,21,50044.27272727273
15,1959-01-22,1959,1,22,50014.36363636364
16,1959-01-23,1959,1,23,49984.454545454544
17,1959-01-26,1959,1,26,49954.545454545456
18,1959-01-27,1959,1,27,49924.63636363636
19,1959-01-28,1959,1,28,49894.72727272727
20,1959-01-29,1959,1,29,49864.818181818184
21,1959-01-30,1959,1,30,49834.90909090909
22,1959-02-02,1959,2,2,49805.0
23,1959-02-03,1959,2,3,49801.4
24,1959-02-04,1959,2,4,49797.8
25,1959-02-05,1959,2,5,49794.2
26,1959-02-06,1959,2,6,49790.6
27,1959-02-09,1959,2,9,49787.0
28,1959-02-10,1959,2,10,49783.4
29,1959-02-11,1959,2,11,49779.8
30,1959-02-12,1959,2,12,49776.2
31,1959-02-13,1959,2,13,49772.6
32,1959-02-16,1959,2,16,49769.0
33,1959-02-17,1959,2,17,49765.4
34,1959-02-18,1959,2,18,49761.8
35,1959-02-19,1959,2,19,49758.2
36,1959-02-20,1959,2,20,49754.6
37,1959-02-23,1959,2,23,49751.0
38,1959-02-24,1959,2,24,49747.4
39,1959-02-25,1959,2,25,49743.8
40,1959-02-26,1959,2,26,49740.2
41,1959-02-27,1959,2,27,49736.6
42,1959-03-02,1959,3,2,49733.0
43,1959-03-03,1959,3,3,49747.77272727273
44,1959-03-04,1959,3,4,49762.545454545456
45,1959-03-05,1959,3,5,49777.318181818184
46,1959-03-06,1959,3,6,49792.09090909091
47,1959-03-09,1959,3,9,49806.86363636364
48,1959-03-10,1959,3,10,49821.63636363636
49,1959-03-11,1959,3,11,49836.40909090909
50,1959-03-12,1959,3,12,49851.181818181816
51,1959-03-13,1959,3,13,49865.954545454544
52,1959-03-16,1959,3,16,49880.72727272727
53,1959-03-17,1959,3,17,49895.5
54,1959-03-18,1959,3,18,49910.27272727273
55,1959-03-19,1959,3,19,49925.045454545456
56,1959-03-20,1959,3,20,49939.818181818184
57,1959-03-23,1959,3,23,49954.59090909091
58,1959-03-24,1959,3,24,49969.36363636364
59,1959-03-25,1959,3,25,49984.13636363636
60,1959-03-26,1959,3,26,49998.90909090909
61,1959-03-27,1959,3,27,50013.681818181816
62,1959-03-30,1959,3,30,50028.454545454544
63,1959-03-31,1959,3,31,50043.22727272727
64,1959-04-01,1959,4,1,50058.0
65,1959-04-02,1959,4,2,50060.454545454544
66,1959-04-03,1959,4,3,50062.90909090909
67,1959-04-06,1959,4,6,50065.36363636364
68,1959-04-07,1959,4,7,50067.818181818184
69,1959-04-08,1959,4,8,50070.27272727273
70,1959-04-09,1959,4,9,50072.72727272727
71,1959-04-10,1959,4,10,50075.181818181816
72,1959-04-13,1959,4,13,50077.63636363636
73,1959-04-14,1959,4,14,50080.09090909091
74,1959-04-15,1959,4,15,50082.545454545456
75,1959-04-16,1959,4,16,50085.0
76,1959-04-17,1959,4,17,50087.454545454544
77,1959-04-20,1959,4,20,50089.90909090909
78,1959-04-21,1959,4,21,50092.36363636364
