Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1981,Unit value index - Prev. year = 100,103.7,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1981,Unit value index - Prev. year = 100,109.1,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1981,Volume index - Previous year = 100,97.002,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1981,Volume index - Previous year = 100,102.574,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1981,Value index - Previous year = 100,106.369,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1981,Value index - Previous year = 100,105.829,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1982,Value index - Previous year = 100,90.67,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1982,Value index - Previous year = 100,93.244,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1982,Volume index - Previous year = 100,94.953,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1982,Volume index - Previous year = 100,89.595,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1982,Unit value index - Prev. year = 100,101.2,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1982,Unit value index - Prev. year = 100,98.2,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1983,Unit value index - Prev. year = 100,95.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1983,Unit value index - Prev. year = 100,101.1,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1983,Volume index - Previous year = 100,93.975,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1983,Volume index - Previous year = 100,110.41,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1983,Value index - Previous year = 100,105.883,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1983,Value index - Previous year = 100,95.009,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1984,Value index - Previous year = 100,108.917,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1984,Value index - Previous year = 100,128.341,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1984,Volume index - Previous year = 100,124.001,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1984,Volume index - Previous year = 100,107.519,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1984,Unit value index - Prev. year = 100,101.3,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1984,Unit value index - Prev. year = 100,103.5,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1985,Unit value index - Prev. year = 100,93.6,   ,WTO, 
