,CPI,CPI2,ConstructionSpending,ConstructionSpending2,CrudeOil,CrudeOil2,DATE,Day,Employment,Employment2,Export_Unit_Value,Export_Unit_Value2,Export_Value,Export_Value2,Export_Volume,Export_Volume2,FedFundRate,FedFundRate2,GDP,GDP2,HomePrice,HomePrice2,Import_Unit_Value,Import_Unit_Value2,Import_Value,Import_Value2,Import_Volume,Import_Volume2,Income,Income2,Loans,Loans2,MonetaryBase,MonetaryBase2,Month,SnP,SnP2,USDollar,USDollar2,Year,long_short,pct_SnP,pct_GDP,pct_MonetaryBase,pct_CPI,pct_HomePrice,pct_Loans,pct_Employment,pct_Income,pct_ConstructionSpending,pct_FedFundRate,pct_USDollar,pct_CrudeOil,pct_Import_Unit_Value,pct_Import_Volume,pct_Import_Value,pct_Export_Unit_Value,pct_Export_Volume,pct_Export_Value
0,150.52,150.54,543624.8,543319.6,17.56,17.76,1995-01-04,4.0,114694.9,114727.8,101.7112,101.72240000000001,114.20552,114.19604,112.284892,112.263784,6.59,5.72,7546.257725806451,7547.219451612903,182.94822580645163,182.99645161290323,101.7112,101.72240000000001,114.20552,114.19604,112.284892,112.263784,6150.46,6151.719999999999,431972.2419354839,432145.48387096776,426055.65,425889.3,1.0,459.130005,460.73001100000005,94.3497,94.0717,1995.0,1,1.003484864815141,1.0001274440711405,0.9996095580471706,1.0001328727079457,1.000263603575487,1.0004010487681052,1.0002868479766756,1.0002048627257147,0.9994385833758871,0.8679817905918057,0.9970535147435552,1.0113895216400912,1.0001101157001393,0.9998120138905241,0.9999169917531131,1.0001101157001393,0.9998120138905241,0.9999169917531131
19,150.9,150.9157894736842,537826.0,538083.3157894737,18.48,18.54,1995-02-01,1.0,115320.0,115359.78947368421,101.924,101.93520000000001,114.0254,114.01592000000001,111.88383999999999,111.862732,5.25,5.98,7564.530516129032,7565.492241935483,183.86451612903227,183.91274193548387,101.924,101.93520000000001,114.0254,114.01592000000001,111.88383999999999,111.862732,6174.4,6175.78947368421,435263.8387096774,435437.0806451613,422895.0,423149.3157894737,2.0,470.420013,470.39999400000005,93.8113,93.6684,1995.0,0,0.9999574444125532,1.0001271362187516,1.0006013686363606,1.0001046353458198,1.000262289904909,1.0003980159160417,1.0003450353250452,1.0002250378472743,1.0004784368726571,1.139047619047619,0.9984767293492363,1.0032467532467533,1.0001098857972608,0.999811340046963,0.9999168606292984,1.0001098857972608,0.999811340046963,0.9999168606292984
38,151.2,151.22608695652173,542715.0,542731.5652173914,18.31,18.4,1995-03-01,1.0,116076.0,116112.21739130435,102.13680000000001,102.148,113.84528,113.8358,111.482788,111.46168,5.56,5.94,7582.803306451613,7583.765032258065,184.7808064516129,184.8290322580645,102.13680000000001,102.148,113.84528,113.8358,111.482788,111.46168,6200.8,6201.717391304348,438555.43548387097,438728.67741935485,427727.0,427979.73913043475,3.0,487.39001500000006,485.64999400000005,93.3967,93.3076,1995.0,0,0.9964299207073415,1.0001268298500678,1.0005908888857489,1.0001725327812285,1.0002609892627794,1.0003950285903827,1.000312014467283,1.0001479472494432,1.0000305228663136,1.0683453237410074,0.99904600483743,1.0049153468050245,1.0001096568523782,0.999810661355186,0.9999167290905693,1.0001096568523782,0.999810661355186,0.9999167290905693
61,151.8,151.815,543096.0,543069.5,19.05,19.11,1995-04-03,3.0,116909.0,116945.15,102.3944,102.4056,113.62724,113.61776,110.997304,110.976196,6.28,6.08,7604.923000000001,7606.510625000001,185.89,185.9346875,102.3944,102.4056,113.62724,113.61776,110.997304,110.976196,6221.9,6222.5599999999995,442540.0,442732.671875,433540.0,433563.4,4.0,500.700012,501.85000599999995,91.5439,91.4422,1995.0,1,1.0022967724634286,1.000208762797467,1.0000539742584307,1.0000988142292488,1.0002403975469365,1.0004353773105257,1.0003092148594206,1.0001060769218406,0.9999512056800272,0.9681528662420382,0.9988890575996872,1.0031496062992125,1.0001093809817725,0.9998098332190123,0.9999165693015161,1.0001093809817725,0.9998098332190123,0.9999165693015161
80,152.1,152.11363636363635,542566.0,542728.0454545454,20.53,20.18,1995-05-01,1.0,117632.0,117664.54545454546,102.61840000000001,102.6296,113.43764,113.42816,110.575144,110.554036,6.1,6.01,7636.6755,7638.263125,186.78375,186.82843749999998,102.61840000000001,102.6296,113.43764,113.42816,110.575144,110.554036,6235.1,6236.400000000001,446393.4375,446586.109375,434008.0,434046.0909090909,5.0,514.76001,514.22998,89.6059,89.5753,1995.0,0,0.9989703357104216,1.0002078947835351,1.0000877654538416,1.0000896539358077,1.0002392472578583,1.0004316189684128,1.000276671777624,1.0002084970569838,1.0002986649634245,0.9852459016393443,0.9996585046297174,0.9829517778860204,1.0001091422201085,0.9998091071895868,0.999916429855205,1.0001091422201085,0.9998091071895868,0.999916429855205
102,152.4,152.4090909090909,546131.0,546186.0454545454,18.89,19.14,1995-06-01,1.0,118348.0,118291.86363636363,102.8648,102.876,113.22908,113.2196,110.110768,110.08966,6.04,6.02,7671.60325,7673.190875,187.766875,187.8115625,102.8648,102.876,113.22908,113.2196,110.110768,110.08966,6263.7,6265.0,450632.21875,450824.890625,434846.0,434894.5909090909,6.0,533.400024,533.48999,90.5529,90.5406,1995.0,1,1.0001686651592652,1.0002069482673,1.0001117427988089,1.0000596516344546,1.0002379945877036,1.0004275590314746,0.9995256669851931,1.0002075450612258,1.0001007916681994,0.9966887417218542,0.999864167795841,1.0132345156167284,1.0001088807833194,0.9998083021271816,0.9999162759248773,1.0001088807833194,0.9998083021271816,0.9999162759248773
124,152.6,152.615,547342.0,547524.7,17.33,17.21,1995-07-03,3.0,117113.0,117126.2,103.1112,103.1224,113.02052,113.01104,109.64639199999999,109.625284,5.89,7.41,7706.531,7708.006587301587,188.75,188.77333333333334,103.1112,103.1224,113.02052,113.01104,109.64639199999999,109.625284,6292.3,6293.43,454871.0,455060.55555555556,435915.0,435896.55,7.0,544.75,547.090027,90.0725,90.0939,1995.0,1,1.004295597980725,1.000191472311159,0.9999576752348508,1.0000982961992138,1.0001236203090509,1.000416723764662,1.0001127116545558,1.0001795845716193,1.0003337949581796,1.2580645161290325,1.0002375863887425,0.9930755914598963,1.0001086205960168,0.9998074902455523,0.9999161214264453,1.0001086205960168,0.9998074902455523,0.9999161214264453
144,152.9,152.90869565217392,550996.0,551127.0869565217,17.59,17.95,1995-08-01,1.0,117377.0,117416.78260869565,103.3352,103.3464,112.83092,112.82144,109.224232,109.203124,5.55,6.21,7736.042746031746,7737.518333333333,189.21666666666667,189.24,103.3352,103.3464,112.83092,112.82144,109.224232,109.203124,6314.9,6316.160869565217,458662.1111111111,458851.6666666667,435546.0,435580.17391304346,8.0,562.0599980000001,559.6400150000001,90.453,90.9323,1995.0,0,0.9956944400800428,1.0001907418754046,1.000078462236006,1.0000568714988483,1.0001233154232363,1.000413279298559,1.00033893018816,1.0001996658007597,1.0002379090892162,1.118918918918919,1.0052988845035542,1.0204661739624787,1.000108385138849,0.9998067461806461,0.9999159804776917,1.000108385138849,0.9998067461806461,0.9999159804776917
167,153.1,153.12,554011.0,554067.05,18.08,18.49,1995-09-01,1.0,118292.0,118322.05,103.5928,103.604,112.61288,112.6034,108.738748,108.71764,5.72,5.86,7769.981253968254,7771.456841269842,189.75333333333333,189.77666666666667,103.5928,103.604,112.61288,112.6034,108.738748,108.71764,6343.9,6345.2,463021.8888888889,463211.44444444444,436332.0,436343.9,9.0,561.880005,563.8599849999999,93.28,93.2809,1995.0,1,1.0035238484772206,1.0001899087337995,1.000027272810612,1.0001306335728284,1.000122966658469,1.000409387893109,1.0002540323944138,1.0002049212629456,1.0001011712763828,1.0244755244755246,1.0000096483704974,1.0226769911504425,1.0001081156219351,0.9998058833636746,0.9999158177998821,1.0001081156219351,0.9998058833636746,0.9999158177998821
187,153.5,153.5095238095238,555132.0,555242.1428571428,17.67,17.56,1995-10-02,2.0,118893.0,118904.38095238095,103.8168,103.828,112.42328,112.4138,108.316588,108.29548,5.93,5.75,7799.493,7801.028295081967,190.22,190.25524590163934,103.8168,103.828,112.42328,112.4138,108.316588,108.29548,6369.9,6370.914285714285,466813.0,467043.7049180328,436570.0,436690.14285714284,10.0,584.409973,581.719971,93.3178,93.6475,1995.0,0,0.9953970634926176,1.0001968454977737,1.000275197235593,1.0000620443617187,1.000185290198924,1.0004942127105132,1.0000957243267556,1.0001592310262775,1.0001984084094284,0.9696458684654301,1.0035330880067896,0.9937747594793434,1.0001078823465952,0.9998051268010769,0.9999156758279957,1.0001078823465952,0.9998051268010769,0.9999156758279957
