,index,CPI,CPI2,ConstructionSpending,ConstructionSpending2,CrudeOil,CrudeOil2,DATE,Day,Employment,Employment2,Export_Unit_Value,Export_Unit_Value2,Export_Value,Export_Value2,Export_Volume,Export_Volume2,FedFundRate,FedFundRate2,GDP,GDP2,HomePrice,HomePrice2,Import_Unit_Value,Import_Unit_Value2,Import_Value,Import_Value2,Import_Volume,Import_Volume2,Income,Income2,Loans,Loans2,MonetaryBase,MonetaryBase2,Month,SnP,SnP2,USDollar,USDollar2,Year,pct_SnP,pct_GDP,pct_MonetaryBase,pct_CPI,pct_HomePrice,pct_Loans,pct_Employment,pct_Income,pct_ConstructionSpending,pct_FedFundRate,pct_USDollar,pct_CrudeOil,pct_Import_Unit_Value,pct_Import_Volume,pct_Import_Value,pct_Export_Unit_Value,pct_Export_Volume,pct_Export_Value,long_short
0,187,153.5,158.2,555132.0,621761.0,17.67,24.35,1995-10-02,2.0,118893.0,121524.0,103.8168,101.86111111111111,112.42328,107.9190873015873,108.316588,105.93800793650794,5.93,5.53,7799.493,8287.078000000001,190.22,195.08,103.8168,101.86111111111111,112.42328,107.9190873015873,108.316588,105.93800793650794,6369.9,6770.9,466813.0,527050.0,436570.0,452496.0,10.0,584.409973,687.3099980000001,93.3178,98.0451,1995.0,1.1760750667408615,1.0625149609083566,1.036479831413061,1.0306188925081432,1.0255493638944382,1.1290388228262709,1.0221291413287579,1.0629523226424276,1.1200237060735105,0.9325463743676223,1.050658073807998,1.3780418788907753,0.9811621154871959,0.9780404820036239,0.9599354092994555,0.9811621154871959,0.9780404820036239,0.9599354092994555,1
1,437,158.2,161.5,621761.0,653196.0,24.35,21.02,1996-10-01,1.0,121524.0,124861.0,101.86111111111111,98.36454183266932,107.9190873015873,108.69290438247012,105.93800793650794,110.54343824701196,5.53,5.65,8287.078000000001,8788.32,195.08,203.68,101.86111111111111,98.36454183266932,107.9190873015873,108.69290438247012,105.93800793650794,110.54343824701196,6770.9,7210.7,527050.0,635143.0,452496.0,477667.0,10.0,687.3099980000001,947.2800289999999,98.0451,105.9233,1996.0,1.3782427605541683,1.0604847691791965,1.0556270110675012,1.0208596713021492,1.044084478162805,1.205090598614932,1.0274595964583129,1.0649544373716937,1.0505580118405626,1.0216998191681737,1.08035281722391,0.8632443531827515,0.9656731677055073,1.0434728800381465,1.0071703449337033,0.9656731677055073,1.0434728800381465,1.0071703449337033,1
2,687,161.5,163.9,653196.0,707943.0,21.02,15.52,1997-10-01,1.0,124861.0,127887.0,98.36454183266932,94.86454183266932,108.69290438247012,106.1103266932271,110.54343824701196,111.8517330677291,5.65,5.73,8788.32,9325.65,203.68,213.99,98.36454183266932,94.86454183266932,108.69290438247012,106.1103266932271,110.54343824701196,111.8517330677291,7210.7,7717.1,635143.0,738513.0,477667.0,512552.0,10.0,947.2800289999999,1017.01001,105.9233,117.8309,1997.0,1.0736107369154724,1.0611413785569939,1.0730320495240409,1.014860681114551,1.05061861743912,1.1627507506183647,1.0242349492635812,1.0702289652876975,1.0838140466261275,1.0141592920353983,1.1124171924401902,0.7383444338725024,0.9644180724599526,1.0118351196729898,0.976239684605764,0.9644180724599526,1.0118351196729898,0.976239684605764,1
3,937,163.9,168.1,707943.0,759906.0,15.52,24.51,1998-10-01,1.0,127887.0,131049.0,94.86454183266932,99.1408,106.1103266932271,110.44362000000001,111.8517330677291,111.40680000000002,5.73,5.26,9325.65,9926.101,213.99,224.55,94.86454183266932,99.1408,106.1103266932271,110.44362000000001,111.8517330677291,111.40680000000002,7717.1,8117.0,738513.0,800835.0,512552.0,564665.0,10.0,1017.01001,1282.709961,117.8309,114.822,1998.0,1.2612559840979345,1.064387040045466,1.1016735862897813,1.0256253813300793,1.0493481003785223,1.084388494176812,1.0247249524971265,1.0518199841909526,1.0733999771168017,0.9179755671902268,0.9744642534343708,1.5792525773195878,1.0450775187938348,0.9960221173554846,1.0408376210102603,1.0450775187938348,0.9960221173554846,1.0408376210102603,1
4,1187,168.1,173.9,759906.0,816100.0,24.51,32.05,1999-10-01,1.0,131049.0,133249.0,99.1408,105.11474103585657,110.44362000000001,117.24205976095618,111.40680000000002,111.53393227091634,5.26,6.68,9926.101,10472.285,224.55,240.45,99.1408,105.11474103585657,110.44362000000001,117.24205976095618,111.40680000000002,111.53393227091634,8117.0,8788.2,800835.0,888752.0,564665.0,585252.0,10.0,1282.709961,1436.52002,114.822,121.5949,1999.0,1.119910239786467,1.0550250294652452,1.0364587852974774,1.034503271861987,1.070808283233133,1.1097816653867525,1.016787613793314,1.0826906492546509,1.0739486199608899,1.2699619771863118,1.0589860828064308,1.307629538963688,1.060257139702893,1.0011411536002859,1.0615557490867844,1.060257139702893,1.0011411536002859,1.0615557490867844,1
5,1437,173.9,177.6,816100.0,845941.0,32.05,23.12,2000-10-02,2.0,133249.0,132344.0,105.11474103585657,98.97011952191235,117.24205976095618,99.86937051792827,111.53393227091634,100.63444621513943,6.68,3.02,10472.285,10701.317,240.45,257.54,105.11474103585657,98.97011952191235,117.24205976095618,99.86937051792827,111.53393227091634,100.63444621513943,8788.2,9009.0,888752.0,804888.0,585252.0,635154.0,10.0,1436.52002,1040.939941,121.5949,126.4214,2000.0,0.7246261287747318,1.021870298602454,1.0852658342047528,1.0212765957446808,1.0710750675816179,0.9056384683241219,0.9932082041891497,1.0251245988939715,1.0365653718906997,0.4520958083832336,1.039693276609463,0.7213728549141967,0.941543674527551,0.9022765015645462,0.8518220399876211,0.941543674527551,0.9022765015645462,0.8518220399876211,0
6,1682,177.6,181.2,845941.0,839690.0,23.12,30.71,2001-10-01,1.0,132344.0,131546.0,98.97011952191235,97.25298804780877,99.86937051792827,99.772593625498,100.63444621513943,102.57674501992031,3.02,1.85,10701.317,11103.833999999999,257.54,274.79,98.97011952191235,97.25298804780877,99.86937051792827,99.772593625498,100.63444621513943,102.57674501992031,9009.0,9219.0,804888.0,711446.0,635154.0,681855.0,10.0,1040.939941,815.280029,126.4214,126.807,2001.0,0.7832152431549362,1.0376137815560458,1.0735270501327236,1.0202702702702702,1.0669798866195543,0.8839068292731411,0.9939702593241855,1.0233100233100234,0.9926105957744098,0.6125827814569537,1.0030501165150836,1.328287197231834,0.9826500010063804,1.0193005365243286,0.999030965230597,0.9826500010063804,1.0193005365243286,0.999030965230597,0
7,1932,181.2,184.9,839690.0,925732.0,30.71,29.43,2002-10-01,1.0,131546.0,131401.0,97.25298804780877,101.56613545816734,99.772593625498,106.89176494023904,102.57674501992031,105.23232270916336,1.85,1.11,11103.833999999999,11816.827,274.79,293.92,97.25298804780877,101.56613545816734,99.772593625498,106.89176494023904,102.57674501992031,105.23232270916336,9219.0,9628.7,711446.0,683295.0,681855.0,724756.0,10.0,815.280029,995.9699710000001,126.807,116.4943,2002.0,1.2216292998390128,1.0642114246304475,1.0629180690909357,1.0204194260485653,1.0696167982823246,0.9604312906390646,0.9988977239900871,1.044440828723289,1.1024687682358967,0.6000000000000001,0.9186740479626518,0.9583197655486811,1.0443497675180762,1.025888691327916,1.0713539766387477,1.0443497675180762,1.025888691327916,1.0713539766387477,1
8,2182,184.9,190.8,925732.0,1015562.0,29.43,50.16,2003-10-01,1.0,131401.0,133398.0,101.56613545816734,104.94382470119521,106.89176494023904,115.01488844621514,105.23232270916336,109.57118326693228,1.11,1.86,11816.827,12562.163,293.92,324.2,101.56613545816734,104.94382470119521,106.89176494023904,115.01488844621514,105.23232270916336,109.57118326693228,9628.7,10196.6,683295.0,694288.0,724756.0,763876.0,10.0,995.9699710000001,1114.579956,116.4943,113.722,2003.0,1.119089920834571,1.0630741230281193,1.0539767866702725,1.0319091400757165,1.103021230266739,1.0160882195830498,1.0151977534417547,1.0589799246004132,1.097036723371343,1.6756756756756757,0.9762022691238971,1.7043832823649336,1.033256057521447,1.041231253345614,1.0759939131935707,1.033256057521447,1.041231253345614,1.0759939131935707,1
9,2432,190.8,199.1,1015562.0,1160818.0,50.16,65.36,2004-10-01,1.0,133398.0,135617.0,104.94382470119521,107.0382470119522,115.01488844621514,114.42348605577689,109.57118326693228,106.9170358565737,1.86,3.87,12562.163,13381.628999999999,324.2,360.59,104.94382470119521,107.0382470119522,115.01488844621514,114.42348605577689,109.57118326693228,106.9170358565737,10196.6,10826.0,694288.0,788718.0,763876.0,787216.0,10.0,1114.579956,1228.810059,113.722,111.4002,2004.0,1.1024871319325968,1.0652328743067574,1.0305546973592572,1.0435010482180294,1.11224552745219,1.136009840296822,1.0166344323003342,1.0617264578388874,1.1430301645788243,2.0806451612903225,0.9795835458398551,1.3030303030303032,1.0199575564995882,0.9757769576705888,0.9948580362209819,1.0199575564995882,0.9757769576705888,0.9948580362209819,1
